52|48|13|N|6|3|42|E	place:Steenwijkerwold2746761
53|15|39|N|5|45|27|E	place:Stiens2746705
53|14|16|N|6|12|44|E	place:Stroobos2746589
53|10|53|N|6|10|6|E	place:Surhuisterveen2746558
53|12|21|N|6|10|44|E	place:Surhuizum2746557
53|16|35|N|6|41|44|E	place:TenBoer2746491
53|17|46|N|7|2|37|E	place:Termunten2746428
53|18|3|N|7|2|3|E	place:Termunterzijl2746426
53|22|50|N|5|57|50|E	place:Ternaard2746424
51|19|26|N|3|50|11|E	place:Terneuzen2746420
53|24|0|N|5|21|0|E	place:Terschelling2746414
53|1|8|N|6|2|51|E	place:Terwispel2746398
53|16|6|N|6|39|1|E	place:Thesinge2746361
53|13|57|N|6|5|26|E	place:Twijzel2746052
53|4|36|N|6|37|3|E	place:Tynaarlo2746038
53|4|36|N|6|37|3|E	place:Tynaarlo2746038
53|24|24|N|6|40|20|E	place:Uithuizen2745970
53|24|52|N|6|43|35|E	place:Uithuizermeeden2745968
53|21|32|N|6|19|59|E	place:Ulrum2745944
53|5|42|N|6|10|8|E	place:Ureterp2745936
39|30|0|N|111|30|0|W	place:Utah5549030
52|5|20|N|5|6|56|E	place:Utrecht2745912
52|42|39|N|6|50|54|E	place:Veenoord2745753
53|14|14|N|5|59|7|E	place:Feanwlden2745743
53|21|36|N|6|17|18|E	place:Vierhuizen2745553
53|1|34|N|7|6|42|E	place:Vlagtwedde2745461
53|28|0|N|5|6|0|E	place:Vlieland2745420
51|27|0|N|3|35|0|E	place:Vlissingen2745392
53|4|24|N|6|34|37|E	place:Vries2745189
52|51|53|N|7|26|12|E	place:Wahn3208447
53|23|36|N|6|33|28|E	place:Warffum2745024
52|11|50|N|4|30|6|E	place:Warmond2745012
52|8|30|N|6|13|18|E	place:Warnsveld2745003
52|8|43|N|4|24|2|E	place:Wassenaar2744991
53|11|11|N|6|38|58|E	place:Waterhuizen2744974
53|10|0|N|7|21|0|E	place:Weener2813433
52|49|5|N|6|55|1|E	place:Weerdinge2744927
52|49|4|N|6|55|1|E	place:Weerdinge2744927
52|18|25|N|5|2|30|E	place:Weesp2744904
53|21|33|N|6|25|20|E	place:WeheDenHoorn2744898
53|8|45|N|5|44|38|E	place:Weidum2744891
52|47|10|N|6|52|19|E	place:Westenesch2744776
52|47|10|N|6|52|20|E	place:Westenesch2744776
52|51|6|N|6|36|34|E	place:Westerbork2744769
53|11|1|N|6|41|10|E	place:Westerbroek2744764
53|17|28|N|6|5|8|E	place:Westergeest2744744
53|8|42|N|6|59|13|E	place:Westerlee2744715
53|24|4|N|6|28|38|E	place:Westernieland2744707
53|5|0|N|6|51|54|E	place:Wildervank2744431
53|7|36|N|6|31|39|E	place:Winde2744363
53|8|0|N|7|2|0|E	place:Winschoten2744344
53|20|0|N|6|31|0|E	place:Winsum2744337
51|31|47|N|3|49|11|E	place:Wolphaartsdijk2744199
53|16|14|N|6|43|54|E	place:Woltersum2744196
52|52|34|N|6|0|5|E	place:Wolvega2744194
53|6|31|N|5|35|16|E	place:Wommels2744191
53|6|54|N|6|35|34|E	place:Yde2744130
53|23|17|N|6|40|55|E	place:Zandeweer2744080
53|20|53|N|6|45|42|E	place:Zeerijp2744003
53|2|52|N|6|32|47|E	place:Zeyen2743985
53|7|29|N|6|20|44|E	place:Zevenhuizen2743926
53|23|39|N|6|45|21|E	place:Zijldijk2743893
52|45|4|N|6|54|16|E	place:Zuidbarge2743809
53|14|49|N|6|23|53|E	place:Zuidhorn2743694
53|5|39|N|6|41|4|E	place:Zuidlaren2743680
53|15|45|N|6|35|32|E	place:Zuidwolde2743636
52|40|17|N|6|25|40|E	place:Zuidwolde2743637
53|15|47.9|N|6|5|10.9|E	place:Zwagerveen2743583
48|36|12|N|15|10|8|E	place:ZwettlStadt2760416
52|31|0|N|6|5|0|E	place:Zwolle2743477
53|21|47|N|6|18|26|E	place:MENNEWEER
52|45|30.8|N|6|55|24.4|E	place:BARGERMEER
53|21|52|N|6|29|21|E	place:LUTKESAAXUM
51|19|19|N|3|59|8|E	place:STOPPELDIJK
